sample	readsRaw	readsPerc	reads	adapterDimerPerc	meanofmeans	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsUnique	avgRCperUnique	readsAdapterNotFound	readsAdapterNotFoundPerc	readsAdapterFound	readsAdapterFoundPerc	ultraShortReadsPerc	shortReadsPerc	meanMiRNAlength	stdDevMiRNAlength	modeMiRNAlength	mainPeakMiRNAlength	skewnessMiRNAlength	absskewnessMiRNAlength	microRNAPerc	rRNAPerc	tRNAPerc	un-assignedPerc	mRNA_sensePerc	mRNA_antisensePerc	snRNAPerc	snoRNAPerc	piRNAPerc	vaultRNAPerc	Y_RNAPerc	unmapped	bacteria	virus	refSpecies	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k
32170378_EXO_S26	92.13299520991829	27.891118124436428	89.54012623985572	42.68632165000633	26.12566920259228	22.704987320371934	66.98224852071006	38.523527754296985	19.706959706959708	18.24175824175824	82.21370604147882	0.0	43.989856297548606	17.13722175260637	94.37588052972669	82.86277824739363	91.1214381802617	93.20514266380962	71.95214032642156	74.00092936802974	93.00691177324737	47.56345472498112	72.41038749782142	37.326439319119274	9.612583745994757	86.3854895104895	11.077124754205812	89.71819704361756	26.755024759685405	50.30585493737256	8.360058309037901	8.360058309037901	87.04284984305424	44.742063492063494	9.220116618075801	99.00755610691327	74.34870869516183	69.05943385587008	0.4398330889816172	14.32296193290457	49.185931977518976	73.05753519902659	60.95370531316994	35.593023929544	29.46288892751608	51.978677791297294
32161454_EXO_S20	90.50436742744435	32.04463480613165	89.36541929666366	40.84524863975705	25.562130177514792	22.704987320371934	53.981403212172445	38.523527754296985	19.706959706959708	18.24175824175824	77.7558611361587	0.0	43.73062834601296	17.9825302902226	93.31079177233023	82.0174697097774	89.07300966124495	93.48708695161837	75.35575303479119	36.86686802973978	93.00691177324737	55.793692280885175	78.81252541683611	53.064544239818744	17.499271773958636	86.89539627039628	9.023377758357002	87.34435301827715	22.662394407224003	49.781532187591026	8.345481049562682	8.345481049562682	83.06445725965399	44.67338217338217	8.58600583090379	99.46430585316341	68.40532310815382	55.40769144017142	0.3665275741513477	47.39556173590591	75.42151920737007	84.76157367170751	35.52349498812214	19.039341792687875	13.859435656758793	27.504490410800162
32160526_EXO_S15	88.93772893772893	23.20784490532011	83.76916140667268	39.43439200303682	26.204564666103128	22.704987320371934	68.8137503522119	38.523527754296985	19.706959706959708	18.24175824175824	78.392696122633	0.0	42.209072978303745	17.779656241194704	92.08791208791209	82.2203437588053	93.24324324324324	95.00394722002932	5.930185281988732	98.57690520446097	93.00691177324737	10.599988383574374	17.004589554406554	68.07064428048568	0.8010486454995631	92.14015151515152	4.741096788289273	87.46086070050244	25.582580833090592	51.73317797844451	15.65597667638484	15.65597667638484	81.91108840061318	44.574175824175825	1.1151603498542273	97.46814029547761	87.79181233788204	90.2390887560618	1.060110522160821	21.51341329161597	49.07005040848253	58.166753577843444	60.95370531316994	40.85984124225042	83.10446723448635	88.37128454719277
32152086_EXO_S7	92.27951535643844	28.680117222723172	89.89517583408477	35.91674047829938	26.4130741053818	22.704987320371934	70.57762750070442	38.523527754296985	19.706959706959708	18.24175824175824	81.28944995491433	0.0	52.14426599041984	26.452521837137223	94.39842209072978	73.54747816286277	90.68117891647303	92.47208751550694	70.61625137945055	54.14730483271376	93.00691177324737	58.97659290236394	72.48591181084065	37.506535757857435	11.99388290125255	86.21794871794872	8.571844730900882	89.8201412655647	26.755024759685405	49.308185260704924	8.345481049562682	8.345481049562682	84.16672749835755	44.734432234432234	6.902332361516035	98.97372279237622	74.57990301116499	67.67790684560731	0.49622194654336305	27.040964134654384	55.22336172431775	75.90822179732314	48.58914189698128	30.511617127295903	22.55634741294397	42.23303783533229
32151130_EXO_S2	92.42603550295858	33.3690261496844	91.33228133453562	29.46982158673921	26.62721893491124	22.704987320371934	72.23443223443223	38.523527754296985	19.706959706959708	18.24175824175824	81.94319206492335	0.0	50.55508593970132	24.395604395604394	94.54494223724993	75.6043956043956	88.14968814968815	92.62997631667983	66.5098449207179	68.51765799256506	93.00691177324737	60.42283789278039	67.16435252425492	25.49816998779992	11.039906787066705	85.05244755244755	9.023377758357002	89.89295856695551	27.497815321875912	52.6070492280804	8.360058309037901	8.360058309037901	82.53157164756551	44.742063492063494	6.909620991253644	93.54347580918011	97.12416826435097	96.58283523175821	3.4509980827788427	22.133379685960946	60.664001390578825	80.56086679413639	48.58914189698128	25.911118836549047	15.504953937076309	43.62941074222145
32151185_EXO_S4	91.9301211608904	26.94995491433724	88.99346257889991	26.553207642667342	26.85826993519301	22.704987320371934	76.03832065370527	38.523527754296985	19.706959706959708	18.24175824175824	83.87060414788097	0.0	51.76669484361792	26.204564666103128	94.1504649196957	73.79543533389688	91.66564754800049	94.2314198714334	67.94447348550851	86.72165427509293	93.00691177324737	49.70087704013475	67.02492302329635	25.242549236042525	12.692979900961259	87.64568764568764	24.004078362828636	86.8564770989587	24.810661229245557	46.29332944946111	15.677842565597668	15.677842565597668	92.43740419008687	44.71153846153846	22.674927113702623	97.47941806698996	84.44231419871433	86.336979812789	1.5112213826547873	26.780230604322384	67.08384031519786	85.15557100643143	48.58914189698128	25.911118836549047	14.705371110724839	46.648125615620835
32170440_EXO_S27	93.9475908706678	31.278178539224527	92.63412984670875	35.322029609009235	26.807551422936037	22.704987320371934	73.86306001690618	38.523527754296985	19.706959706959708	18.24175824175824	84.68214607754734	0.0	45.4268808114962	16.66384897154128	95.77345731191885	83.33615102845872	89.6600220129632	92.1901432276982	77.17372364523436	29.87918215613383	93.00691177324737	55.230295638032175	81.34549468425027	59.24591878231569	25.050975822895428	80.74737762237763	11.339305221760979	85.9753877521299	24.42470142732304	43.16195747159919	8.345481049562682	8.345481049562682	85.77268413752829	44.742063492063494	17.645772594752188	97.95308447050863	78.29592872448404	75.44829141761588	1.2574715236269314	32.26142881974622	61.42881974621936	82.48450084014138	48.58914189698128	22.11020337215366	18.813372733066807	14.589489541688394
32152175_EXO_S9	93.82924767540152	33.701532912533814	93.02862939585212	42.38896621536126	26.232741617357004	22.704987320371934	66.98224852071006	38.523527754296985	19.706959706959708	18.24175824175824	87.54508566275925	0.0	50.5607213299521	22.541561003099464	95.61003099464638	77.45843899690054	87.73388773388774	92.08300439833089	73.46808387059302	41.67634758364312	93.00691177324737	55.700760875878494	76.39574740022077	47.31888688781735	14.986891931255462	77.44755244755245	6.2923312213240115	91.21095172212918	30.6874453830469	51.73317797844451	8.345481049562682	8.345481049562682	77.72830133586393	44.72680097680097	8.58600583090379	98.60719521822487	78.54403969775572	69.831961204466	0.5074997180557121	39.75317225795237	73.56162002433513	83.92722637464512	35.52349498812214	22.11020337215366	16.576858450663423	33.9243293354192
32152337_EXO_S10	90.80867850098619	26.701983769161405	87.83814247069432	49.04466658231051	26.942800788954635	22.704987320371934	75.44096928712314	38.523527754296985	19.706959706959708	18.24175824175824	72.77953110910731	0.0	51.96956889264582	27.348548887010427	93.41222879684418	72.65145111298958	91.46386205209734	92.47772640126311	72.91630365336586	35.83875464684015	93.00691177324737	54.707556484869606	76.1866031487829	46.84250275954221	23.78386251092339	87.31060606060606	10.865923822008593	83.15007645816647	17.60122341974949	38.33381881736091	15.65597667638484	15.65597667638484	84.16672749835755	44.742063492063494	16.20991253644315	88.76170068794406	96.12044659975189	96.99447389195895	7.544829141761588	35.70890549858045	70.56608146474304	80.07416420418332	35.52349498812214	25.911118836549047	21.246885682832147	16.768063039573555
32151033_EXO_S1	93.36714567483799	44.93349864743012	94.29666366095582	20.54283183601164	26.193293885601577	22.704987320371934	63.39814032121724	38.523527754296985	19.706959706959708	18.24175824175824	86.63773669972949	0.0	45.56776556776557	17.447168216398985	95.34516765285996	82.55283178360101	80.37177448942155	92.64689297394835	61.47412441191845	42.309479553903344	93.00691177324737	72.65493407678457	63.04537268343694	16.458490675652122	13.930964171278765	79.21765734265735	4.741096788289273	91.37114978518896	30.993300320419458	52.20652490533062	8.316326530612244	8.316326530612244	79.59705087962625	44.742063492063494	5.444606413994169	97.51325138152701	87.40836810646216	81.66798240667644	1.1334160369910906	33.1942754504896	75.1723738339417	87.63543658381134	35.52349498812214	16.489947273886088	10.649516194449273	29.758386928559013
32170273_EXO_S23	91.07917723302339	30.10595130748422	89.25270513976555	41.44628622042262	26.356720202874047	22.704987320371934	68.8137503522119	38.523527754296985	19.706959706959708	18.24175824175824	76.87669071235347	0.0	43.0938292476754	17.125950972104818	93.6545505776275	82.87404902789518	90.21034609269904	92.95703169053795	73.52035778590927	41.0199814126394	93.00691177324737	53.4762153685311	76.54679602625922	47.58612676465462	20.878240605884066	87.35431235431236	13.334789891486418	85.26177819849997	19.356248179434896	40.43110981648704	8.352769679300291	8.352769679300291	86.72895831812541	44.734432234432234	15.291545189504372	99.65038908311718	59.580466899740614	32.59839855644525	0.3044998308334273	36.323077814473606	72.43756880468162	82.42076597717133	35.52349498812214	22.11020337215366	18.813372733066807	19.44492728431543
181023-190319_Brain_S29	96.46097492251339	49.13773669972949	97.36812443642921	42.901429836770845	26.204564666103128	22.704987320371934	65.09439278670048	38.523527754296985	19.706959706959708	18.24175824175824	49.88728584310189	0.0	52.459847844463226	20.63679909833756	97.58805297266835	79.36320090166244	77.18600953895071	20.565016352768694	49.021316141023405	37.43610594795539	93.00691177324737	62.31631526979149	50.22366815778772	9.806541567419973	86.2656568598893	14.932983682983682	50.46245721360425	22.711716303793782	2.9129041654529564	0.8010486454995631	48.56413994169096	48.56413994169096	87.7071319074385	44.742063492063494	76.4795918367347	96.42494643058532	19.409044772752903	15.935491146949364	6.698996278335401	26.420997740309403	39.43449794310215	33.59406686366533	73.0343588852193	71.85236688104757	70.56028738629121	0.45193811924213456
32152088_EXO_S8	95.2268244575937	41.371731289449954	95.47452660054103	45.51436163482222	26.503240349394197	22.704987320371934	70.57762750070442	38.523527754296985	19.706959706959708	18.24175824175824	81.76284941388639	0.0	55.68329106790645	26.869540715694562	96.72020287404902	73.13045928430545	81.93714076067018	86.12270215405435	79.10205029912296	51.81807620817844	93.00691177324737	35.7147005866295	81.57787718584791	59.71068378551095	16.69094086804544	80.36858974358974	11.805403830747943	90.46093351780382	18.99941741916691	63.43577046315176	8.316326530612244	8.316326530612244	76.72092853492956	44.70390720390721	29.161807580174926	94.49080861621744	96.57719634600203	92.9457539190256	3.1916093379948123	54.97421635088939	62.993220928211365	81.52268381713888	48.58914189698128	22.11020337215366	22.55634741294397	18.61057998725303
