gene	32170378_EXO_S26	32161454_EXO_S20	32160526_EXO_S15	32152086_EXO_S7	32151130_EXO_S2	32151185_EXO_S4	32170440_EXO_S27	32152175_EXO_S9	32152337_EXO_S10	32151033_EXO_S1	32170273_EXO_S23	181023-190319_Brain_S29	32152088_EXO_S8	32151825_EXO_S6	32151151_EXO_S3	32170329_EXO_S24	32170337_EXO_S25	32160079_EXO_S13	32152347_EXO_S11	32160791_EXO_S16	32161000_EXO_S17	32160288_EXO_S14	32170032_EXO_S21	32170447_EXO_S28	32160018_EXO_S12	32170073_EXO_S22	32161249_EXO_S19	32151764_EXO_S5	32161037_EXO_S18
hsa-miR-6882-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7245238675827796	0.0	0.0	0.0	0.0	0.0	0.0	2.6771324698688743	3.746539134474529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3150b-5p	0.0	0.0	0.0	0.0	27.223860044770078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10392-5p	2.2959555594841907	0.9776638039041049	33.689317117542025	3.417343015805211	0.8781890337022606	1.6718018847894447	0.22800394629230245	17.11192234298515	2.1982425364955365	0.5396121160187634	0.0	0.0	0.7270020181576023	0.9846745256822811	0.421027458568793	0.18683263383195228	0.13617761155635894	1.9912544106285197	2.6771324698688743	0.0	0.46615787088918686	0.0	4.518201575045069	1.7006990723536912	5.479181848566372	0.9240715083496022	0.0	2.3416269858460357	67.4399784192069
hsa-miR-23a-5p	0.0	0.0	0.0	0.0	1.7563780674045213	0.0	6.156106549892166	5.703974114328383	35.48591523199938	28.059830032975697	19.355997294461712	4.445439303102276	0.0	193.98088155940937	68.20644828814446	25.40923820114551	28.869653649948095	67.70264996136967	224.87912746898544	0.0	13.518578255786418	9.83242554395757	0.0	20.408388868244295	0.0	0.0	0.9555821525921361	0.0	0.0
hsa-miR-576-3p	1.1479777797420954	0.0	656.9416837920695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5676244250676943	0.0	0.0	0.0	7.099640085614187	0.0	1.9912544106285197	0.0	0.0	0.0	0.0	0.0	5.102097217061074	0.0	18.789454003108577	0.0	0.0	0.0
hsa-miR-214-3p	0.0	0.0	0.0	37.59077317385732	0.0	17.55391979028917	0.0	0.0	0.0	0.0	0.0	25.637921498063992	84.33223410628187	0.0	0.0	0.0	10.077143255170562	0.0	0.0	0.0	0.0	0.0	2.2591007875225344	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4727-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.26257568091009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3681-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31403464807079096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-205-5p	1187.0090242533265	0.48883190195205245	1600.2425630832463	926.9542930371636	0.0	253.27798554560087	225.03989499050252	329.2748693271385	287.3417029847737	218.54290698759917	481.7492659954915	1.7628466201957302	286.80229616317416	1682.8087643910183	568.3870690678705	314.2524901053437	120.3810086158213	485.86607619335877	481.88384457639734	179.8338784547774	160.35830758588028	331.95123629926314	490.22487089239	497.8796534315431	1671.1504638127435	474.0486837833459	375.0659948924134	1262.1369453710133	2090.6393309954137
hsa-miR-4718	111.35384463498325	39.595384058116245	303.20385405787823	140.11106364801367	23.711103909961036	45.13865088931501	5.244090764722956	0.0	26.064875789875646	57.19888429798892	27.600218364325034	0.0	20.71955751749167	28.55556124478615	37.471443812622574	11.023125396085184	14.298649213417688	109.51899258456858	251.6504521676742	236.03196547189532	33.563366704021455	7.481193348663368	140.06424882639715	34.86433098325067	1013.6486419847788	13.861072625244033	19.11164305184272	23.416269858460357	786.7997482240805
hsa-miR-1915-5p	1.1479777797420954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.7366204755859	0.0	0.0	0.0	0.0	0.0	157.3599496448161
hsa-miR-184	897.7186237583185	227.79566630965644	1785.5338072297275	281.0764630499786	183.54150804377247	770.7006688879341	42.63673795666055	21.77881025470837	214.1716299842794	218.0032948715804	183.1650855087025	27.669027386550376	69.79219374312983	614.4369040257434	231.56510221283614	70.99640085614186	33.4996924428643	2568.7181897107903	262.35898204714965	3881.4145433156123	123.9979936565237	97.25551353262378	5570.942542030571	289.96919183630433	5807.932759480354	78.85410204583272	101.76949925106248	1134.5182746424043	10880.316518298714
hsa-miR-656-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5329101045180265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6849-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5396121160187634	0.0	0.0	0.3635010090788012	0.0	0.421027458568793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7e-3p	0.0	24.930426999554673	0.0	0.0	48.300396853624335	25.077028271841673	3.4200591943845366	0.0	40.51046960113203	18.346811944637956	13.262442590649693	18.01169372808681	0.0	31.509584821832995	0.0	20.925254989178654	16.74984622143215	0.0	0.0	0.0	10.255473159562111	10.259922306738334	24.850108662747882	45.493700185461236	0.0	31.726455120003006	0.0	0.0	0.0
hsa-miR-4710	0.0	0.0	0.0	0.8543357539513028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-371a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.4799928064023
hsa-miR-6750-3p	3.443933339226286	0.0	286.3591954991072	0.0	0.0	0.0	5.928102603599863	0.0	0.0	0.0	0.0	0.0	6.543018163418421	0.0	0.0	0.0	0.5447104462254357	0.0	0.0	0.0	0.0	0.21374838139038194	24.850108662747882	0.0	0.0	0.0	0.0	0.0	0.0
