sample	batch	readsRaw	readsPerc	adapterDimerPerc	shortReadsPerc	mainPeakMiRNAlength	meanofp50
32151640_EXO_S32	180322-190603	1.2280577E7	74.96795142443226	4.633108911933702	14.409624051413727	80.73394780705027	35.5
32151675_EXO_S28	180322-190603	1.3907834E7	77.14971288843395	0.836197679752056	11.818768352851848	85.13872503564944	35.5
32151681_EXO_S21	180322-190603	7143944.0	80.48107599947592	1.8806984421905353	9.655723390788157	81.93423644137003	35.5
32151161_EXO_S19	180322-190603	8829439.0	80.56620584841234	2.4706459910840124	11.792228918308846	65.98110993125803	35.5
32151113_EXO_S24	180322-190603	1.1761258E7	58.65069876028568	2.243657823470321	16.23158715696898	75.24798797513401	35.5
32140243_EXO_S2	180322-190603	1.6107843E7	79.56269501757622	0.09016083255131693	1.6850293037875304	84.10407804690988	35.5
32150300_EXO_S4	180322-190603	1.1648607E7	79.09981854482686	0.12819762780977034	3.76876666114914	82.6698790437178	35.5
32151662_EXO_S25	180322-190603	1.1047381E7	68.52375237171597	0.8037578135826872	17.422591131112586	80.27411157796006	35.5
32150296_EXO_S34	180322-190603	1.4830338E7	73.81594404658883	0.42863609564796884	6.396180794004447	81.87636094329218	35.5
32151649_EXO_S7	180322-190603	1.6123991E7	81.5818428576399	0.3247953004601164	8.230428453776053	85.65218502808911	35.5
32151808_EXO_S16	180322-190603	9665534.0	82.34152401719346	1.2486377907369324	11.699728609010503	82.59847051644223	35.5
32152166_EXO_S8	180322-190603	5749775.0	85.00249140183746	0.4542662042352904	4.597247002341598	83.59361136285268	35.5
180322-190603_Brain_S36	180322-190603	8417529.0	86.63982030831139	0.37664738568376366	1.0425471257427825	84.84417762782914	35.5
32150759_EXO_S26	180322-190603	7700588.0	75.40328089231627	0.3199064666254054	13.794886990246322	81.09751178602198	35.5
32151206_EXO_S12	180322-190603	1.2243401E7	81.47105530562953	0.9815262051358925	11.082431806354657	85.34204246952596	35.5
32151872_EXO_S27	180322-190603	1.4503127E7	75.90519616907443	0.4063765471949441	14.629776221970843	82.70190421479268	35.5
32152211_EXO_S35	180322-190603	2.7554729E7	78.7776029297911	0.27939544316760623	9.197210973085587	74.55805731298847	35.5
32151109_EXO_S17	180322-190603	8073652.0	77.41375278498504	2.9161103504407158	14.178720522671085	81.12535003795743	35.5
32152477_EXO_S29	180322-190603	1.3450493E7	81.34733797489802	0.9030777120144192	11.782116250395799	84.85507058393097	35.5
