gene	32160965_EXO_S9	32160622_EXO_S5	32161245_EXO_S17	32170434_EXO_S28	32160340_EXO_S2	32161045_EXO_S12	32170383_EXO_S25	32170272_EXO_S24	32160628_EXO_S6	32161104_EXO_S15	32161237_EXO_S16	32170016_EXO_S20	181004-190521_Brain_S35	32161013_EXO_S11	32170385_EXO_S26	32150161_EXO_S32	32160612_EXO_S4	32161253_EXO_S18	32170268_EXO_S22	32170269_EXO_S23	32150116_EXO_S31	32161004_EXO_S10	32161392_EXO_S19	32160765_EXO_S8	32170450_EXO_S29	32160373_EXO_S3	32160284_EXO_S1	32170409_EXO_S27	32170083_EXO_S21	32161065_EXO_S14	32150978_EXO_S34	32161046_EXO_S13	32160670_EXO_S7	32170652_EXO_S30	32150704_EXO_S33
hsa-miR-5010-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.9504366305880921	0.0	0.0	0.0	0.0	1.100053535938749	3.5815529161403723	13.82606669832836	0.0	0.0	0.0	0.927210713734355	0.0	51.33426305387531	0.0	0.0	0.0	1.789068789694964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5698	0.0	0.0	0.0	0.0	0.0	0.0	16.157422719997566	0.0	0.0	2.3083546279047757	0.0	0.0	0.0	0.0	0.0	1.4144151534781884	0.0	0.0	0.0	77.00139458081297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.673607218173568	0.0	15.595757953836557	5.298546608665243	0.0	0.0	0.0
hsa-miR-5696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.61425137150958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8831271910545175	0.0	0.0	0.4675481820090265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6878-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0480823499263985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6516-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.354943195005994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.192329399705594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5694	8.92926618014922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.259446464895518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25137357910185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1226-3p	1.2756094543070315	1.6121121207858886	10.898778682860799	3.6475666399026467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.657138460923258	4.839123344414926	0.0	0.0	0.0	0.0	0.0	0.0	2.25137357910185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6869-5p	62.50486326104454	7.65753257373297	26.88365408438997	21.42945400942805	21.559749906901082	24.114023549288678	52.27401468234507	16.697446921534425	24.656352092707884	175.43495172076294	12.15625273223469	27.86802291044831	0.0	72.5868501662239	99.35419771485346	86.27932436216949	96.3893536723108	10.662923207945083	148.40198049188513	663.0675644458894	22.513735791018497	61.31865773458218	253.9337455672969	268.3603184542446	28.822264622975958	323.62797398448674	95.93450870872151	346.09679723122565	90.09369744534315	32.382315846882776	982.5327510917031	275.5244236505926	2275.391298352065	40.16086894028854	64.25686930647066
hsa-miR-6507-5p	0.0	0.40302803019647215	0.0	0.0	0.0	0.0	0.0	0.0	1.232817604635394	0.0	0.0	0.0	5.702666779097292	0.0	0.0	0.0	0.0	0.0	23.60940598734536	0.0	0.0	0.0	49.00475791649589	0.0	0.0	0.0	0.0	5.4935999560512006	0.0	0.0	0.0	5.298546608665243	0.0	0.0	0.0
