gene	32160009_EXO_S30	32152260_EXO_S26	32152408_EXO_S29	32160078_EXO_S32	32150179_EXO_S2	32160080_EXO_S33	32150313_EXO_S5	32151181_EXO_S16	32151178_EXO_S15	32152087_EXO_S24	32151988_EXO_S22	32160019_EXO_S31	32152030_EXO_S23	32151021_EXO_S13	32150156_EXO_S1	32151970_EXO_S21	32151029_EXO_S14	32150829_EXO_S9	32150792_EXO_S8	181003-190524_Brain_S35	32151754_EXO_S20	32150309_EXO_S4	32160185_EXO_S34	32151018_EXO_S12	32151480_EXO_S17	32150697_EXO_S7	32152351_EXO_S28	32150318_EXO_S6	32152200_EXO_S25	32150274_EXO_S3	32151489_EXO_S18	32150882_EXO_S11	32151625_EXO_S19	32150835_EXO_S10	32152348_EXO_S27
hsa-miR-676-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4902901323838234	0.0	0.0	0.11814869036311937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6869-3p	0.0	0.0	758.3657218693716	221.24783780522145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.119377367424242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.67331885009852	0.0	51.99978569785288	0.0	0.0	0.0
hsa-miR-3616-3p	0.0	0.0	1990.7100199071003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-138-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.127835333850577	0.0	22.728499549691602	0.0	8.399139317287414	0.0	0.0	0.0	0.0	0.0	17.919218038406438	0.0	0.0	0.0	0.0	0.0	1.522432896486438	0.0	38.82794424307207	0.0	0.0	0.0	0.0	8.21065789374292	0.0	0.0
hsa-miR-412-3p	0.0	0.0	663.5700066357001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7876579357541291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-891b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.605427018838678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.247126542327258	0.0	0.0	0.0	0.0	0.0	0.0	1.522432896486438	0.0	0.0	0.0	0.0	0.0	0.0	6.568526314994336	0.0	0.0
hsa-miR-3139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.564793880871385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4691-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9021785808370052	0.0	0.0	0.0	0.0
hsa-miR-3138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.1732006754598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9247750946969696	0.0	0.0	34.21785269141612	0.0	2.1104838284176646	1.141998360090355	0.0	0.0	0.0	0.0	9.19593684099207	0.0	26.649592226173688
hsa-miR-3137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.23219883506461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6770-3p	0.0	0.0	0.0	0.0	0.0	4.8298056969168135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7635581197534013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.047770550983905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5757510817531175	0.0	0.0	0.0
hsa-miR-920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7013050585835181
hsa-miR-3133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1099739523715577	0.0	0.0	0.0	38.60386369527213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4560788379326008	0.3044865792972876	0.0	21.697968841716744	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3132	0.0	0.0	0.0	0.0	1.8842244563541386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.30865863693084	0.0	0.0	0.0	0.0	0.0	0.0	9.828532156045057	0.0	0.0	0.0	0.0	0.0	0.0	1.5757510817531175	0.0	0.0	0.0
hsa-miR-3131	0.0	0.0	0.0	0.0	0.0	0.0	6.506519532571637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.507455095806136	0.0	3.632816686253603	0.0	0.0	0.0	0.9247750946969696	0.0	2.764179550046853	0.0	0.3044865792972876	0.0	0.0	1.2719442176143925	10.104582428131158	0.0	55.151287861359116	0.0	0.0	0.7013050585835181
hsa-miR-6761-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0633382132680744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1306-3p	0.0	0.0	0.0	0.0	0.0	14.48941709075044	0.0	0.0	0.0	0.0	5.274934880928894	0.0	63.3887632852283	0.0	16.544513012259486	0.0	0.0	0.0	7.083620832141799	19.612682600277815	0.5809829185212126	0.0	0.0	0.0	0.0	0.0	0.0	14.845978681174612	0.0	50.52291214065579	0.0	37.81802596207482	0.0	0.0	0.0
hsa-miR-501-3p	1328.3321542901058	693.2715120587023	3317.8500331785003	1106.2391890261072	491.04982915318135	858.3638013576049	448.94984774744296	837.1979475603619	883.5020757816527	237.323718680115	679.9391061517346	626.4542688383748	581.0636634479262	862.3116365748411	1043.6830291900358	336.71568919738905	763.8399006057291	813.7509377208071	1038.8436032717582	94.24327201298155	904.7840651103684	594.9386442550505	1288.5916283167576	392.5134961066531	934.1959144369246	750.6101657310303	175.17015775866616	921.5926765929164	717.3765387345173	848.7849239630173	1365.4472820968074	979.3292973095625	1043.6293560140168	811.4161834849554	971.7750428438948
hsa-miR-455-3p	0.0	202.00935175038697	0.0	0.0	42.70908767736047	28.173866565348074	0.0	246.78101148371996	76.11968278852191	155.1732006754598	82.64064646788601	120.74515385773664	31.69438164261415	130.56843847783162	0.0	389.3275156344811	70.63368375488662	0.0	47.74885153517805	31.191254255863516	119.68248121536979	71.20768229166666	0.0	254.30451860431046	60.427271774202936	143.71766542831975	0.0	127.90381633011974	260.74856461095044	242.50997827514777	94.72875098788555	343.5137358221796	132.6842315628856	104.89790965204747	70.13050585835181
hsa-miR-11181-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9021785808370052	0.0	0.0	32.909148126132536	0.0
hsa-miR-3152-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.09274932453741	31.69438164261415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.05961640021822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.21180300590277	0.3284263157497168	0.0	0.0
hsa-miR-6850-5p	208.6652043137714	0.0	758.3657218693716	442.4956756104429	0.0	0.0	0.0	0.0	0.0	9.127835333850577	5.978259531719414	0.0	0.0	6.872023077780612	0.0	3.507455095806136	0.0	0.0	0.2623563271163629	0.0	11.038675451903039	0.0	0.0	140.9731570523895	0.0	0.0	75.97741782303594	0.0	0.0	222.30081341888547	0.0	83.51480733291523	0.0	0.0	0.7013050585835181
hsa-miR-136-3p	0.0	0.0	0.0	0.0	0.6280748187847128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.197701233861807	283.7143884586373	0.0	0.0	0.0	0.0	2.548137966382052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-498-3p	0.0	0.0	0.0	20.113439800474676	0.0	0.8049676161528022	6.506519532571637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5148376707531614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.543888435228785	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5584-5p	0.0	0.0	94.79571523367144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35166232539525966	0.0	0.0	0.0	0.0	0.0	0.22639001203489303	0.0	0.0	11.854251933099643	0.5809829185212126	0.0	0.0	0.0	0.0	0.0	0.0	2.28399672018071	1.2719442176143925	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-9-5p	671.8001699858008	1040.5084863968332	663.5700066357	1649.3020636389228	564.6392620874558	1233.2103879460908	481.48244541030107	664.274335570874	1311.9636235988587	876.2721920496554	995.5560431939817	1872.2601504058434	898.0074798740676	794.1004445435364	1825.4112690192987	315.67095862255223	979.1368020509101	1420.4313243251577	965.7336401153293	123053.51509485759	453.1666764465458	392.1046401515153	790.844929357256	1219.0031815706632	1403.6599997670232	1872.896949257611	715.4540178335878	1686.7315778534517	978.1251033454683	1859.2431667761339	1152.984226309691	471.1495734441819	1280.8626314238907	540.9441223233032	1193.621209709151
hsa-miR-548h-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30542324790136055	0.0	0.0	0.0	0.0	0.0	1.090531165811967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4649-3p	0.0	0.0	94.79571523367144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.635581197534012	0.0	0.0	0.0	30.878941833155626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6728-3p	5.089395227165156	0.0	0.0	402.26879600949354	0.0	0.0	0.0	4.4225987721096764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8164083431268014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.141998360090355	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-10396a-3p	0.0	0.0	47.39785761683572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4631973681228763	14.397752305182985	0.0
hsa-miR-6745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.247750946969695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7102656109278626	0.0	0.0	0.0	0.0	8.376430445291042	0.0	6.558908177909073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.852789472491505	0.0	0.0
hsa-miR-127-5p	0.0	0.0	0.0	0.0	0.0	0.0	6.506519532571637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.2859106938467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8509961490222036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3122	0.0	0.0	0.0	0.0	0.0	0.8049676161528022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3044865792972876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-196a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.08902602451897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.03658958530069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4738-3p	0.0	0.0	0.0	140.79407860332273	0.0	13.684449474597637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.247126542327258	1.2996355939943132	0.0	0.0	54.63073525165258	0.0	0.0	0.0	2.1104838284176646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-624-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.205312218557252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1619658370424253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3692-3p	0.0	0.0	0.0	20.113439800474676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22639001203489303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2719442176143925	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-5001-3p	5.089395227165156	0.0	0.0	20.113439800474676	0.0	0.0	6.506519532571637	0.0	0.0	0.0	0.0	38.354342990104584	0.0	6.872023077780612	0.0	0.0	0.0	1.8164083431268014	0.0	1.1027211100557808	1.7429487555636378	17.570726799242422	0.0	0.0	0.0	0.6089731585945752	0.0	0.0	0.0	0.0	23.456643101762136	0.0	0.0	0.0	8.415660703002217
hsa-miR-520f-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.729717298641289	3.302713509419339	114.09794167313221	5.099103718231265	0.0	0.0	0.0	0.0	70.14910191612272	2.9430701564536093	52.675841950677246	0.0	0.0	3.4858975111272756	0.0	0.0	93.98210470159299	0.1820098547415751	1.6746761861350818	46.43064422518862	7.993988520632484	0.0	0.0	0.0	45.69678137084041	5.911673683494903	0.0	18.584584052463228
hsa-miR-2392	0.0	1.6032488234157696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4205312218557251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-33a-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.876120201401875	0.0	0.0	0.0	0.0	8.506705706144595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5757510817531175	13.46547894573839	0.0	9.818270820169253
hsa-miR-6808-5p	0.0	0.0	0.0	301.70159700712014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.69438164261415	9.926255556794217	88.23740273205058	0.0	0.0	1.8164083431268014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5757510817531175	0.0	0.0	0.0
